item,risk_pass,high_cv_pass,monitor_pass,pred_cv,pred_range_over_mean,cv_n_listings,cv_source,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,base_price,n_listings,avg_discount,median_discount,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,steam_discount_risk_score,risk_collected_at_utc,status,error,sort_by,collected_at_utc,currency,cap_hit,discount_sample_n,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_band_risk%,steam_daily_ret_3d,trade_days,steam_trade_currency,model_ready,has_summary,summary_ready,has_fit,fit_ready,monitor_pass_before_model_ready,tier,liquidity_score,liquidity_rank
AK-47 | Redline (Battle-Scarred),True,True,True,0.1202,1.5058172517093462,167,summary,True,True,True,True,True,30.45,50,-0.0265922175445679,-0.0293359599728754,106,2.514992611411301,3.239489213937146,0.9676308320311254,2.12,0.0299403088778702,0.0031734713076519,-0.0012705300579876,0.0668179448652294,0.0398945141210022,-0.0491040178035705,2026-05-22T02:45:38.500497+00:00,ok,,best_deal,2026-04-17T01:41:12.248005+00:00,,True,8,31.32,30.5125,1/1,31.3321,31.357,30.342,31.04,31.828,32.3175,25.912,34.503,6.305035410968316,0.040721238232009,7,3,True,True,True,True,True,True,C,0.262546468401487,395.0
M4A4 | Desolate Space (Battle-Scarred),True,True,True,0.128,0.4364441742302514,53,summary,True,True,True,True,True,12.74,45,-0.0382189074235017,-0.029782200284386,318,3.609080360765677,2.271513891756068,0.977147563290006,7.066666666666666,0.0255054654568835,0.0064160227068172,0.0036708339579367,0.055036923505643,0.0401978542566532,-0.042800164115847,2026-05-22T03:36:23.517448+00:00,ok,,best_deal,2026-04-17T23:06:37.748545+00:00,,False,8,13.6625,13.16875,1/1->1/1,14.0479,13.9635,13.6444,13.777,14.284,14.5394,12.867,16.872,6.371059019497586,0.0309559721324426,7,3,True,True,True,True,True,True,B,0.6575278810408922,185.0
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear),True,True,True,0.0529,0.17740382178518926,71,summary,True,True,True,True,True,13.67,50,-0.0449852539992535,-0.0298739803388412,59,12.182124219323736,7.46719697412801,0.9247051114023592,1.18,0.0407061662538896,0.0017157452195669,-0.0078587818599963,0.2568952892360264,0.129790090309983,-0.1128880938684415,2026-05-22T04:05:52.574591+00:00,ok,,best_deal,2026-05-11T22:21:03.930480+00:00,,True,8,14.755,14.1325,1/1,15.3873,15.26,14.111,14.462,16.3365,16.8138,6.775,23.163,17.56513488396275,0.1040150902721639,7,3,True,True,True,True,True,True,C,0.06319702602230483,509.0
StatTrak™ USP-S | Printstream (Field-Tested),True,True,True,0.1392,0.4304865111303998,113,summary,True,True,True,True,True,62.69,50,-0.0287803285268882,-0.029979969359278,60,12.677534439861116,11.941160372881953,0.8805919937737721,1.2,0.0293708148246369,0.001509893862268,,0.1149426768002061,0.0627978874146592,-0.1413434786392635,2026-05-22T02:54:37.944056+00:00,ok,,best_deal,2026-05-12T18:16:16.563351+00:00,,True,8,65.89874999999999,64.06125,1/1,79.6606,79.663,70.1506,73.044,83.143,89.2506,59.944,121.587,23.976721239860115,-0.0331660294172594,7,3,True,True,True,True,True,True,C,0.07411710037174721,501.0
UMP-45 | Wild Child (Well-Worn),True,True,True,0.1635,1.316220481820077,64,summary,True,True,True,True,True,3.45,38,-0.0313024901027788,-0.0299856140981837,969,7.027896995708155,5.47210300429185,0.9448648648648648,25.5,0.0487030174695606,0.0053540373536441,0.0017137383038476,0.1075214538112065,0.0855628470469459,-0.0575586026669611,2026-05-22T03:06:55.500811+00:00,ok,,best_deal,2026-04-18T22:23:58.664742+00:00,,False,8,4.015,3.90125,1/1->1/1,3.728,3.7,3.496,3.581,3.843,4.032,2.724,4.31,14.377682403433475,0.0616291532690247,7,3,True,True,True,True,True,True,A,0.8901022304832714,60.0
Five-SeveN | Heat Treated (Battle-Scarred),True,True,True,0.0997,0.5318334026394697,400,summary,True,True,True,True,True,4.4,50,-0.0385274235537743,-0.031164479335211,283,5.624131103340783,5.539874457597859,0.9439232409381662,5.66,-0.0529361337333906,-0.0099535601841434,-0.0436411448788772,0.1554650373387645,0.0,-0.0774566835463468,2026-05-22T03:37:45.312404+00:00,ok,,best_deal,2026-04-17T12:01:01.209995+00:00,,True,8,4.72375,4.55,1/1,4.7474,4.69,4.427,4.585,4.852,4.9378,2.972,9.774,10.759573661372556,-0.0807156230497193,7,3,True,True,True,True,True,True,B,0.6129182156133829,209.0
FAMAS | Mecha Industries (Factory New),True,True,True,0.1969,0.5539458516372248,77,summary,True,True,True,True,True,79.4,50,-0.0298936155646766,-0.0314055702998529,59,4.830584875502668,10.109846405531837,0.9028892455858748,1.18,-0.0551461738556507,-0.0030277805159658,0.0014745272994776,0.1098510063032633,0.0514862388336908,-0.1242229497479028,2026-05-22T02:59:53.559415+00:00,ok,,best_deal,2026-04-17T10:49:41.958569+00:00,,True,8,83.22625,80.8425,1/1,119.6853,124.6,112.5,120.858,126.6395,128.249,50.142,133.398,13.158675292621565,-0.0356319197330775,7,3,True,True,True,True,True,True,C,0.06319702602230483,506.0
StatTrak™ AWP | Atheris (Field-Tested),True,True,True,0.0542,0.29604100388829996,100,summary,True,True,True,True,True,9.67,50,-0.0318346239138787,-0.0324726670981688,297,7.5386604017473795,5.32140734240992,0.9460183767228176,5.94,-0.0566191815624717,0.0020463272261343,-0.0516518991757539,0.2242954698470713,0.0048090795421756,-0.0682215079288808,2026-05-22T03:08:44.642259+00:00,ok,,best_deal,2026-05-11T10:07:28.213219+00:00,,True,8,9.94875,9.6425,1/1,10.5987,10.448,9.884,10.179,10.978,11.486,8.825,14.662,15.115061281100516,-0.0315760059612518,7,3,True,True,True,True,True,True,B,0.629182156133829,200.0
Tec-9 | Remote Control (Minimal Wear),True,True,True,0.1592,1.227533681447076,76,summary,True,True,True,True,True,7.27,50,-0.0399611579631183,-0.0326421944069001,61,7.251110530441595,6.4541416252939605,0.9357690807437264,1.22,-0.0172413793103448,-0.0068186599002829,-0.03466679687966,0.1678449855983241,0.0470018329405603,-0.0975755147270451,2026-05-22T03:45:40.990334+00:00,ok,,best_deal,2026-04-18T20:28:57.942749+00:00,,True,8,8.40375,8.09125,1/1,7.654,7.691,7.197,7.275,7.83,8.138,6.809,9.774,12.294225241703682,0.025166096235152,7,3,True,True,True,True,True,True,C,0.08224907063197026,495.0
AWP | Elite Build (Battle-Scarred),True,True,True,0.1722,0.6692708333333334,69,summary,True,True,True,True,True,14.87,50,-0.0312242073319285,-0.0327920555768657,62,2.987951183862476,2.9439726815891736,0.9705496069614724,1.24,-0.0105243076531748,-0.0003741369183469,-0.0016684867796018,0.0414203084832905,0.0307840616966581,-0.0536589737811369,2026-05-22T03:05:45.625415+00:00,ok,,best_deal,2026-04-17T03:57:23.093351+00:00,,True,8,15.4225,14.95625,1/1,15.4621,15.4565,15.0013,15.185,15.647,15.9873,12.868,20.104,6.376882829628569,0.0136807817589577,7,3,True,True,True,True,True,True,C,0.08689591078066915,491.0
